name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
蝶々結び,蝶々結び,aiko,37734,313000,1,0.603,0.601,0.646,0.0000262,0.125,-2.35,0.0284,106.133,4,0.501,morning
Dream,Weightlifting Fairy Kim Bok Joo (Original Television Soundtrack),Various Artists,42747,242400,1,0.501,0.161,0.452,0.00019,0.0809,-7.297,0.0241,145.937,3,0.191,morning
Not a Love Song,"Real:Time:Love 3 (Original Soundtrack), Pt. 1",IGWI,44064,190716,1,0.876,0.316,0.705,0,0.296,-5.097,0.0382,107.972,4,0.801,morning
Chasing Fire,I met you when I was 18. (the playlist),Lauv,43251,205267,1,0.709,0.0449,0.562,0,0.217,-4.864,0.0724,125.965,4,0.386,morning
Kiss Later (YeoJin),YeoJin,LOONA,42751,199754,1,0.378,0.177,0.766,0,0.0733,-4.11,0.0924,207.642,4,0.632,morning
dlwlrma,Palette,IU,42846,176098,1,0.738,0.315,0.641,0,0.114,-3.44,0.0475,119.867,4,0.631,morning
Be Around Me,Be Around Me,Will Joseph Cook,44083,181260,1,0.753,0.0814,0.703,0.0000565,0.442,-5.095,0.0621,82.477,4,0.814,morning
Polaroid Love,DIMENSION : ANSWER,ENHYPEN,44571,184601,0,0.738,0.458,0.67,0,0.361,-3.766,0.0439,138.055,4,0.651,morning
Give Love,PLAY,AKMU,43054,176532,1,0.795,0.332,0.706,0,0.0751,-4.541,0.071,95.987,4,0.846,morning
Day 1,ONE FINE DAY,K.Will,41816,205660,1,0.667,0.284,0.836,0,0.23,-2.894,0.0454,107.984,4,0.891,morning
もう少しだけ,もう少しだけ,YOASOBI,44326,220200,1,0.675,0.12,0.746,0,0.121,-5.531,0.0288,99.99,4,0.533,morning
Without You (Feat. ROSE),One of a Kind,G-DRAGON,41167,242677,1,0.6,0.0311,0.678,0,0.338,-6.894,0.0372,123.991,4,0.326,morning
Love Me,My World,Justin Bieber,39814,191573,1,0.729,0.00939,0.868,0,0.283,-3.319,0.0609,124.957,4,0.632,morning
Girl in the Mirror,UglyDolls (Original Motion Picture Soundtrack),Various Artists,43581,158066,1,0.748,0.0615,0.69,0,0.296,-3.053,0.0352,106.966,4,0.513,morning
週末グルーミー,週末グルーミー,Saucy Dog,44349,251605,1,0.569,0.367,0.73,0,0.24,-3.912,0.0286,88.039,4,0.626,morning
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,42398,217706,0,0.728,0.621,0.563,0,0.179,-8.053,0.134,100.017,4,0.352,morning
だから僕は音楽を辞めた,だから僕は音楽を辞めた,ヨルシカ,43565,242912,1,0.65,0.36,0.88,0.00369,0.23,-5.326,0.0283,124.985,4,0.921,morning
DARARI,THE SECOND STEP : CHAPTER ONE,TREASURE,44607,220716,1,0.716,0.486,0.638,0,0.0702,-6.87,0.0392,84.955,4,0.552,morning
Say Yes,"Moonlovers - Scarlet Heart Ryeo (Original Television Soundtrack), Pt. 2",Various Artists,42611,218897,0,0.696,0.352,0.778,0,0.329,-4.653,0.0585,94.996,4,0.41,morning
単焦点,単焦点,Penthouse,44601,181774,1,0.704,0.288,0.799,0,0.0781,-5.575,0.0512,109.982,4,0.811,morning
Omokage (produced by Vaundy),Omokage (produced by Vaundy),milet,44547,188060,1,0.488,0.0258,0.638,0.0000224,0.12,-4.502,0.058,207.906,4,0.713,morning
レモンパイ,レモンパイ,Macaroni Empitsu,43376,219889,0,0.688,0.125,0.825,0,0.196,-4.019,0.0377,101.67,4,0.764,morning
Top Of The World,A Song For You,Carpenters,1972,179173,1,0.379,0.806,0.343,0,0.0991,-12.993,0.0385,184.301,4,0.694,morning
"Ob-La-Di, Ob-La-Da - Remastered 2009",The Beatles (Remastered),The Beatles,25164,188960,1,0.818,0.232,0.728,0.0642,0.251,-8.331,0.0314,113.059,4,0.975,morning
SWEET TWEET,ラブとピースは君の中,Official HIGE DANdism,42116,295373,0,0.596,0.0121,0.924,0,0.0511,-1.766,0.0512,133.552,4,0.762,morning
